Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,9097.509765625,9275.021484375,8698.1064453125,8866.7431640625,8747.830078125,4151202
2020-06-19,8866.7431640625,9319.3994140625,8431.837890625,8431.837890625,8318.7578125,6163370
2020-06-22,8351.95703125,8653.728515625,8254.3251953125,8431.837890625,8318.7578125,1320866
2020-06-23,8440.7138671875,8600.474609375,8351.95703125,8449.5888671875,8336.2705078125,1414967
2020-06-24,8209.947265625,8227.6982421875,8067.9375,8165.5693359375,8056.06005859375,1935450
2020-06-25,8192.1962890625,8387.4599609375,8130.06689453125,8147.81787109375,8038.546875,813507
2020-06-26,8174.44482421875,8227.6982421875,8112.3154296875,8138.9423828125,8029.7900390625,523323
2020-06-29,8076.81298828125,8112.3154296875,7801.6689453125,7819.42041015625,7714.55322265625,658788
2020-06-30,7952.5546875,8032.43505859375,7783.91796875,7863.79833984375,7758.3359375,771147
2020-07-01,7908.17626953125,8023.5595703125,7819.42041015625,7846.046875,7740.82275390625,483125
2020-07-02,7881.54931640625,7996.9326171875,7846.046875,7934.80322265625,7828.388671875,332864
2020-07-03,7970.3056640625,8023.5595703125,7854.9228515625,7917.05224609375,7810.8759765625,240073
2020-07-06,7988.05712890625,8059.06201171875,7952.5546875,8023.5595703125,7915.95458984375,440403
2020-07-07,8085.68896484375,8156.69384765625,8023.5595703125,8023.5595703125,7915.95458984375,390071
2020-07-08,8103.43994140625,8103.43994140625,7943.6787109375,7961.43017578125,7854.65869140625,252086
2020-07-09,8014.68359375,8121.19140625,7961.43017578125,8005.80810546875,7898.44140625,390882
2020-07-10,8032.43505859375,8041.310546875,7908.17626953125,7934.80322265625,7828.388671875,314965
2020-07-13,7934.80322265625,8032.43505859375,7872.673828125,7970.3056640625,7863.4150390625,379700
2020-07-14,7979.18115234375,7979.18115234375,7854.9228515625,7890.42529296875,7784.60595703125,343257
2020-07-15,7899.30078125,7961.43017578125,7890.42529296875,7917.05224609375,7810.8759765625,313227
2020-07-16,7925.927734375,7996.9326171875,7899.30078125,7925.927734375,7819.63232421875,262232
2020-07-17,7934.80322265625,7970.3056640625,7908.17626953125,7934.80322265625,7828.388671875,190893
2020-07-20,7952.5546875,8165.5693359375,7952.5546875,8147.81787109375,8038.546875,670042
2020-07-21,8245.4501953125,8254.3251953125,8130.06689453125,8192.1962890625,8082.330078125,426543
2020-07-22,8165.5693359375,8227.6982421875,8085.68896484375,8147.81787109375,8038.546875,418184
2020-07-23,8201.072265625,8449.5888671875,8112.3154296875,8405.2109375,8292.4873046875,975838
2020-07-24,8405.2109375,8414.0869140625,7810.54443359375,8165.5693359375,8056.06005859375,620339
2020-07-27,8387.4599609375,8733.609375,8298.7041015625,8662.603515625,8546.4287109375,1732144
2020-07-28,8742.484375,8840.1162109375,8573.84765625,8635.9775390625,8520.1591796875,953951
2020-07-29,8875.619140625,9141.8876953125,8813.4892578125,8919.9970703125,8800.3701171875,2507331
2020-07-30,9053.130859375,9097.509765625,8831.2412109375,8919.9970703125,8800.3701171875,970837
2020-07-31,8964.375,9008.7529296875,8653.728515625,8653.728515625,8537.6728515625,831848
2020-08-03,8724.7333984375,8777.9873046875,8396.3349609375,8591.5986328125,8476.3759765625,657102
2020-08-04,8627.1015625,8848.9921875,8627.1015625,8671.4794921875,8555.185546875,560181
2020-08-05,8689.23046875,8706.982421875,8538.345703125,8573.84765625,8458.86328125,514818
2020-08-06,8600.474609375,8627.1015625,8538.345703125,8547.220703125,8432.5927734375,572105
2020-08-07,8591.5986328125,9319.3994140625,8591.5986328125,9186.265625,9063.0673828125,2810153
2020-08-10,9674.4248046875,10206.9619140625,9452.5341796875,9896.3154296875,9763.5947265625,5484087
2020-08-11,10118.205078125,10384.4736328125,9630.046875,9807.55859375,9676.0283203125,2242036
2020-08-12,9585.66796875,9718.802734375,9319.3994140625,9452.5341796875,9325.765625,1406384
2020-08-13,9452.5341796875,9718.802734375,9275.021484375,9363.7783203125,9238.2001953125,1044000
2020-08-14,9408.15625,9496.912109375,9053.130859375,9186.265625,9063.0673828125,667991
2020-08-18,9230.6435546875,9363.7783203125,8822.365234375,8840.1162109375,8721.560546875,970655
2020-08-19,8848.9921875,9053.130859375,8831.2412109375,8875.619140625,8756.5869140625,660077
2020-08-20,9053.130859375,9097.509765625,8520.59375,8547.220703125,8432.5927734375,1394587
2020-08-21,8822.365234375,8964.375,8715.857421875,8831.2412109375,8712.8046875,1109343
2020-08-24,8831.2412109375,8964.375,8520.59375,8831.2412109375,8712.8046875,567068
2020-08-25,8964.375,9097.509765625,8831.2412109375,9053.130859375,8931.71875,621267
2020-08-26,9097.509765625,9097.509765625,8813.4892578125,8919.9970703125,8800.3701171875,423714
2020-08-27,8919.9970703125,9008.7529296875,8840.1162109375,8848.9921875,8730.3173828125,565038
2020-08-28,8848.9921875,8964.375,8813.4892578125,8875.619140625,8756.5869140625,628412
2020-08-31,9141.8876953125,9763.1806640625,9008.7529296875,9674.4248046875,9544.6796875,2585389
2020-09-01,9940.693359375,10384.4736328125,9807.55859375,10029.44921875,9894.943359375,2557238
2020-09-02,10162.583984375,11893.3291015625,10029.44921875,11493.9267578125,11339.7802734375,10977413
2020-09-03,11360.7919921875,12203.9755859375,11005.767578125,11493.9267578125,11339.7802734375,7629838
2020-09-04,10872.6328125,12070.841796875,10695.12109375,11493.9267578125,11339.7802734375,5010091
2020-09-07,12070.841796875,12292.732421875,11227.658203125,11316.4140625,11164.6484375,3668748
2020-09-08,11627.060546875,11804.5732421875,11183.279296875,11272.0361328125,11120.865234375,1865543
2020-09-09,11138.9013671875,11449.5478515625,10828.2548828125,10961.3896484375,10814.3857421875,1695354
2020-09-10,11094.5234375,11316.4140625,10695.12109375,11227.658203125,11077.0830078125,1159943
2020-09-11,11227.658203125,11227.658203125,10739.4990234375,10783.876953125,10639.2529296875,1022667
2020-09-14,11094.5234375,11183.279296875,10872.6328125,10917.0107421875,10770.6015625,791032
2020-09-15,11005.767578125,11005.767578125,10473.23046875,10739.4990234375,10595.470703125,1357087
2020-09-16,12026.4638671875,13135.916015625,11138.9013671875,11138.9013671875,10989.5166015625,16038857
2020-09-17,11138.9013671875,11715.81640625,11005.767578125,11094.5234375,10945.7333984375,3029401
2020-09-18,10961.3896484375,11316.4140625,10650.7421875,10695.12109375,10551.6875,1788805
2020-09-21,10606.3642578125,10828.2548828125,10295.7177734375,10428.8525390625,10288.990234375,1241224
2020-09-22,10295.7177734375,10384.4736328125,9674.4248046875,9851.9365234375,9719.8115234375,1684564
2020-09-23,9985.0712890625,10073.8271484375,9363.7783203125,9851.9365234375,9719.8115234375,1011871
2020-09-24,9452.5341796875,9940.693359375,9408.15625,9718.802734375,9588.462890625,1186562
2020-09-25,9896.3154296875,9940.693359375,9408.15625,9408.15625,9281.982421875,744241
2020-09-28,9452.5341796875,9985.0712890625,9452.5341796875,9896.3154296875,9763.5947265625,713478
2020-09-29,10029.44921875,10206.9619140625,9896.3154296875,10118.205078125,9982.5087890625,747329
2020-10-05,10118.205078125,10473.23046875,10029.44921875,10473.23046875,10332.7724609375,583217
2020-10-06,10517.6083984375,10561.986328125,10118.205078125,10206.9619140625,10070.0751953125,628412
2020-10-07,10073.8271484375,10384.4736328125,9985.0712890625,10206.9619140625,10070.0751953125,358471
2020-10-08,10340.095703125,10340.095703125,10029.44921875,10206.9619140625,10070.0751953125,455221
2020-10-12,10295.7177734375,10295.7177734375,9985.0712890625,10029.44921875,9894.943359375,471365
2020-10-13,10118.205078125,10118.205078125,9807.55859375,9985.0712890625,9851.16015625,443261
